team,abbrevation,region,tier,players,last_change,changes,url
Siko,,France,Tier 2,"['Tenshi', 'kpro', 'poegii', 'Hyperzxz', 'Rouss', 'Wezy']",2024-12-01,0,https://www.vlr.gg/team/13779/siko
RRQ Academy,RRQ.AC,Indonesia,Tier 2,"['zhar', 'splash', 'woody', '6ixKey', 'natz', 'skye']",2024-12-24,5,https://www.vlr.gg/team/17021/rrq-academy
KOI,,EMEA,Tier 1,"['flyuh', 'grubinho', 'sheydos', 'Filu', 'soulcas', 'Noizeeh']",2024-11-07,4,https://www.vlr.gg/team/7035/koi
unsigned,,North East,Tier 2,"['eleo', 'Bully', 'deyten', 'darkwinjett', 'appA']",2022-09-14,1,https://www.vlr.gg/team/9240/unsigned
děti ulice,,North East,Tier 2,"['kya', 'Gunners', 'Patix', 'Nunmeister', 'WanZeru']",Unknown,5,https://www.vlr.gg/team/17211/d-ti-ulice
Xperion NXT,NXT,DACH,Tier 2,"['Movi', 'Terrox', 'zery', 'Spocki', 'Kongi']",2024-03-12,1,https://www.vlr.gg/team/14529/xperion-nxt
ZETA Gaming,ZETA,Spain,Tier 2,"['d3mur', 'falltw', 'Lele', 'N A I S', 'Z3RO', 'JKG', 'Hassan', 'Taber']",2025-01-04,7,https://www.vlr.gg/team/8258/zeta-gaming
OXEN,,LATAM South,Tier 2,"['Forcee', 'fasuu', 'jcz', 'KIMB0']",2024-10-27,2,https://www.vlr.gg/team/9427/oxen
KOI Fénix,KOI.FÉN,Spain,Tier 2,"['OLIZERA', 'MONSTEERR', 'Guardy', 'pika', 'ZachKappa']",2025-01-02,5,https://www.vlr.gg/team/17174/koi-f-nix
ALTERNATE aTTaX Ruby,aTTaX,EMEA,Game Changers,"['Jade', 'ginger', 'ellie', 'Blossi', 'Harmonee', 'myinoh', 'Xyphex']",2024-06-12,1,https://www.vlr.gg/team/11496/alternate-attax-ruby
ShindeN,SHN,LATAM South,Tier 2,"['murizzz', 'snw', 'david', 'rubkkoide', 'maxhinh9']",2024-12-06,5,https://www.vlr.gg/team/16971/shinden
FlyQuest RED,FLY.R,North America GC,Game Changers,['sonder'],2025-01-22,3,https://www.vlr.gg/team/6456/flyquest-red
Fire Flux Esports,FF,Turkey,Tier 2,"['JN3v1cE', 'musz3kk', 'Docent', 'kabzi', 'influx', 'salah']",2025-01-17,5,https://www.vlr.gg/team/4686/fire-flux-esports
DNSTY,DNS,Spain,Tier 2,"['caydeN', 'waddle', 'Tag', 'baddyG', 'SimonD4rk', 'simoz']",2025-01-12,0,https://www.vlr.gg/team/17179/dnsty
RANKERS,RANK,North America,Tier 2,"['P0PPIN', 'ion2x', 'Eggsterr', 'Inspire', 'canezera']",2025-01-27,1,https://www.vlr.gg/team/16806/rankers
The Ultimates,TU,GCC,Tier 2,"['SpYzera', 'Fighter', 'KHaaLiD', 'Moh', 'B1SK', 'Erick']",2025-02-22,2,https://www.vlr.gg/team/1458/the-ultimates
SweetNsour,SNS,North East,Tier 2,"['d3ffo', 'diseased', 'ianto', 'Vitie', 'Aphun']",2025-01-16,3,https://www.vlr.gg/team/14467/sweetnsour
FENNEL,FL,Japan,Tier 2,"['GON', 'Aace', 'Hals', 'neth', 'MrTenzouEz']",2025-01-15,0,https://www.vlr.gg/team/2934/fennel
Ambrosia,AMB,North America,Tier 2/CVal,"['smiley', 'GLYPH', 'ScrewFace', 'acrian', 'satellite']",2025-01-24,1,https://www.vlr.gg/team/11963/ambrosia
Los Grandes,LOS,Brazil,Tier 2,"['Quick', 'mazin', 'jzz', 'GuhRVN', 'frz', 'bzkA']",2025-02-04,5,https://www.vlr.gg/team/7332/los-grandes
Cubert Academy,CUBE,North America,Tier 2,"['Reduxx', 'NiSMO', 'nightz', 'tdawgg', 'skuba']",2025-02-11,0,https://www.vlr.gg/team/16899/cubert-academy
DetonatioN FocusMe,DFM,Pacific,Tier 1,"['Meiy', 'Art', 'Jinboong', 'Akame', 'gyen']",2024-10-15,4,https://www.vlr.gg/team/278/detonation-focusme
LEVIATÁN GC,LEV.GC,LATAM South,Game Changers,"['romily', 'ponix', 'antG', 'waved', 'nicky']",2025-03-01,6,https://www.vlr.gg/team/9205/leviat-n-gc
Titan Esports Club,TEC,China,Tier 1,"['Haodong', 'Dynamite', 'B1ack', 'Abo', 'Rb', 'xiaobei']",2024-12-25,1,https://www.vlr.gg/team/14137/titan-esports-club
Rex Regum Qeon,RRQ,Pacific,Tier 1,"['Estrella', 'Monyet', 'xffero', 'Jemkin', 'Kushy']",2024-10-10,1,https://www.vlr.gg/team/878/rex-regum-qeon
SHERPA,SRP,Korea,Tier 2,"['Wolverine', 'SungJin', 'Manggong', 'kanade', 'Moves', 'GodsB']",2025-02-06,6,https://www.vlr.gg/team/14565/sherpa
KPI Gaming,KPI,Spain,Tier 2,"['zeddy', 'l0udly', '7ssk7', 'Destrian', 'golack', 'MaseN1']",2025-02-10,4,https://www.vlr.gg/team/6313/kpi-gaming
Gentle Mates,M8,EMEA,Tier 1,"['K4DAVRA', 'RobbieBk', 'Minny', 'Zyppan', 'Click', 'Placido']",2024-12-04,4,https://www.vlr.gg/team/12694/gentle-mates
FUSION,FSN,LATAM North,Tier 2,"['Dobsha', 'Xhowi', 'prask', 'MiniNiwde']",2025-02-23,1,https://www.vlr.gg/team/7269/fusion
Unsigned5,U5,MA/Sing,Tier 2,"['Fixy', 'Riza', 'Flaring', 'markL', 'Iceyyy']",Unknown,7,https://www.vlr.gg/team/16592/unsigned5
QoR,QOR,North America,Tier 2/CVal,"['Dark3st', 'Timotino', 'nerve', 'snarly', 'Logan']",2025-01-24,3,https://www.vlr.gg/team/6985/qor
BC SWELL,BCS,Japan,Tier 2,"['Allen', 'Jan', 'sakura', 'Jinbey']",2025-02-20,1,https://www.vlr.gg/team/11233/bc-swell
Sengoku Gaming,SG,Japan,Tier 2,"['Gwangboong', 'Kippei', 'NOBITA', 'Misaya', 'yuran']",2024-11-11,0,https://www.vlr.gg/team/283/sengoku-gaming
T1,,Pacific,Tier 1,"['stax', 'Meteor', 'Sylvan', 'BuZz', 'iZu']",2025-01-08,1,https://www.vlr.gg/team/14/t1
BOOM Esports,BME,Pacific,Tier 1,"['dos9', 'Famouz', 'Shiro', 'NcSlasher', 'BerserX', 'Owljan']",2025-01-22,0,https://www.vlr.gg/team/466/boom-esports
Team Liquid,TL,EMEA,Tier 1,"['nAts', 'paTiTek', 'kamyk', 'Keiko', 'kamo']",2024-11-29,2,https://www.vlr.gg/team/474/team-liquid
PEEK,,Brazil,Tier 3,"['Yeah', 'insano', 'hunterx', 'nicksz', 'Stwz1', 'PKX']",Unknown,12,https://www.vlr.gg/team/16071/peek
BBL PCIFIC,BCF,Turkey,Tier 2,"['Crewen', 'Loita', 'Lar0k', 'Rosé', 'ComeBack']",2024-11-08,0,https://www.vlr.gg/team/16616/bbl-pcific
Shopify Rebellion Black,SRB,North America,Tier 2,"['monSi', 'Pa1nt', 'BcJ', 'Spaz', 'Paincakes']",2025-02-18,1,https://www.vlr.gg/team/9353/shopify-rebellion-black
ZETA DIVISION GC,ZETA.GC,Pacific,Game Changers,[],2025-02-15,3,https://www.vlr.gg/team/9315/zeta-division-gc
Bilibili Gaming,BLG,China,Tier 1,"['whzy', 'Levius', 'rushia', 'nephh', 'Knight']",2024-10-31,1,https://www.vlr.gg/team/12010/bilibili-gaming
