Player,Team,Rating,ACS,KD,ADR,KAST,KPR,APR,FKPR,FDPR,Total_Rounds_Played,url,tier_m,region_m,opponents
Nightmare,TUMT Orcinus,1.118,207.668,1.594,132.726,0.72,0.753,0.358,0.098,0.038,226.0,https://www.vlr.gg/player/42921/nightmare?timespan=all,0.82,0.82,"['S2 Esports', 'Jester Circus']"
明日花,TWA,1.091,203.03,1.213,133.163,0.766,0.748,0.221,0.121,0.079,99.0,https://www.vlr.gg/player/49930/?timespan=all,0.0,0.0,
Liovin,Team Cece,0.57,157.0,0.41,118.7,0.63,0.37,0.21,0.05,0.16,19.0,https://www.vlr.gg/player/50049/liovin?timespan=all,0.82,0.82,"['Team Poupi', 'BIGG Motley', 'PERVELUX', 'GAS Esports']"
ray,Team Cece,1.28,320.0,1.4,202.8,0.68,1.11,0.05,0.26,0.16,19.0,https://www.vlr.gg/player/50051/ray?timespan=all,0.905,0.93,"['Erinite Esports', 'Red Knight Sons Red', 'Erinite Esports', 'Green Beans', 'Boise State University', 'Landor', 'Funhavers', 'CCG Esports', 'South Park', '4 White Guys and a Mexican', 'HyperSpeed Black', 'Christians Rottweilers', 'Eastern Michigan University', 'Christians Rottweilers', 'crashouts', 'Darius Day', 'Predator X Gaming Academy', 'Darius Day', 'USF Gold', 'Christians Rottweilers', '789', 'YDZ Esports', 'Brimstone with a Fusion Bomb', 'AURA', 'Gekko', 'Prestige Esports', ""SeanGares' Kittens"", 'LoungeLizardWW', 'Good Career', 'COPPER BLUE OVALS', 'Good Career', 'SaD Purple', 'HVA Esports', 'Cafe Coke Zero', 'Supernova']"
maestr0,Orquestra Do Maestro,1.072,228.544,1.101,148.446,0.715,0.796,0.282,0.126,0.114,2863.0,https://www.vlr.gg/player/32717/maestr0?timespan=all,0.0,0.0,
phonics,Stellae Gaming,0.41,108.0,0.33,75.8,0.45,0.3,0.35,0.0,0.0,20.0,https://www.vlr.gg/player/2210/phonics?timespan=all,0.0,0.0,
peRO,DFM Academy,1.111,237.69,0.856,152.214,0.619,0.759,0.347,0.241,0.067,29.0,https://www.vlr.gg/player/40728/pero?timespan=all,0.0,0.0,
desire,KPI Gaming,1.065,212.712,1.092,137.211,0.714,0.765,0.253,0.089,0.072,419.0,https://www.vlr.gg/player/44963/desire?timespan=all,0.914,0.9,"['MIBR Academy', 'RED Canids', 'Stellae Gaming', 'A nova onda do Imperador', 'PR0NETS', 'SAGAZ', 'TotalePRO', 'F4TALITY', 'pugdesonesto', 'TTK E AMIGOS', 'Agropesca Jacare', 'F4TALITY', 'NoOrg9', 'SAGAZ', 'PEEK', 'Underhounds', 'mickey mouse', 'Sliquifier', 'Grêmio Esports', 'mickey mouse', 'SAIDEIRA ESPORTS', 'DELIRA', 'Agropesca Jacare', 'F4TALITY', 'THE OFFICE', 'TBS Academy', 'PEEK', 'A nova onda do Imperador', 'PEEK', 'Agropesca Jacare', 'mickey mouse', 'mickey mouse', 'Team YOSO', 'NIGERIA 96', 'A nova onda do Imperador', 'NIGERIA 96', 'NIGERIA 96', 'PANTERA', 'SAGAZ', 'CO-OP.gg', 'SAGAZ', 'Stellae Academy', 'Tropa do A', 'Smoke Meio', 'Sliquifier', 'NEXT', 'NoOrg9', 'Curralzinho Wolves', 'OS CARA CEGO 2.0', 'Gerson Lanches', 'OS CARA CEGO 2.0', 'OS CARA CEGO 2.0', 'Agropesca Jacare', 'GenGibre', 'SAGAZ', 'lanchonete do gerso', 'A nova onda do Imperador', 'PELOTAO DOS RAUL', 'JUMENTUS', '2007', 'Agropesca Jacare', 'A nova onda do Imperador', 'pump', 'SAIDEIRA ESPORTS', 'os piticos', 'insanity', 'OS CARA CEGO', 'insanity', 'Orquestra do Maestro', 'Tropa do avanço', 'Team Liquid Brazil', 'A nova onda do Imperador', 'Fenda Dos Streamers', ' amamosfranjudas', 'Bagres.DropTech', 'KAMI TENCHI', 'PLAYOFFENJOYER', 'KAMI TENCHI', 'OS CARA CEGO', ' super onze', 'odiamos L2', 'Brasil 2002', 'DES', 'KOF 2002', 'Geladeira brastemp 98', 'Aplica 06 Aplica', 'Brasil 2002', 'FRAUDE', 'Intense Game', 'OS CARA CEGO', 'CACTUS COWBOYS', 'XIT', 'XIT', 'XIT', 'ULTIMATE', 'Intense Game', 'PANCADAO', 'ULTIMATE', 'XIT', 'XIT', 'Smoke Troop', 'Intense Game', 'TOP GUN', 'Orgless 2.0', 'Smoke Troop', 'Galorys', 'The Union', 'não temos um plano', 'PuniCoxa.com', 'Galorys', 'Black Dragons FEM', 'Botafogo eSports', 'blowzin e amigos', 'EXODIA', 'The Plain', '3P eSports', 'REiGN']"
B1SK,ZY Gaming,1.154,252.226,1.237,157.831,0.713,0.886,0.167,0.233,0.169,7796.0,https://www.vlr.gg/player/251/b1sk?timespan=all,0.0,0.0,
foxy,Fancy United Esports,0.911,164.053,0.834,108.43,0.719,0.589,0.493,0.038,0.07,236.0,https://www.vlr.gg/player/48876/foxy?timespan=all,0.0,0.0,
